"gene_id","GEL_AT_immature_top_leaf_R1","GEL_AU_immature_top_leaf_R2","GEL_AV_immature_top_leaf_R3","GEL_AW_mature_middle_leaf_R1","GEL_AX_mature_middle_leaf_R2","GEL_AY_mature_middle_leaf_R3","GEL_AZ_mature_bottom_leaf_R1","GEL_BA_mature_bottom_leaf_R2","GEL_BB_mature_bottom_leaf_R3","GEL_BC_immature_top_stem_R1","GEL_BD_immature_top_stem_R2","GEL_BE_immature_top_stem_R3","GEL_BI_primary_root_R1","GEL_BJ_primary_root_R2","GEL_BK_primary_root_R3","GEL_BL_secondary_root_R1","GEL_BM_secondary_root_R2","GEL_BN_secondary_root_R3"
"Gelse.v1.S030780.1",0.871241,0.677887,1.7397,0.723475,0.443643,0.415254,0,0.284422,0.768274,1.32771,2.9286,0.301759,0.0467868,0.089326,0.0390909,0,0.176577,0.0503717
"Gelse.v1.S185430.1",29.3509,33.0757,37.9612,31.3183,40.5183,61.1611,23.741,39.9148,38.6724,121.495,169.996,106.416,93.4088,105.933,113.946,85.8643,97.5053,102.282
"Gelse.v1.S025410.1",46.4335,130.762,35.6301,90.8105,95.5291,124.349,86.5876,104.614,89.2202,42.9992,54.3648,64.3414,42.8164,37.9089,52.0208,38.7704,37.3449,37.6355
"Gelse.v1.S253330.2",4.54912,3.70687,5.56646,2.92906,2.6265,2.56283,2.83471,2.46335,3.12482,4.43625,4.92196,3.51348,4.72032,5.0782,3.4538,4.72554,4.46105,4.83791
"Gelse.v1.S002000.1",2.12304,3.89875,5.18053,0.342732,0.135532,0.778635,0,0.225365,0.115562,4.0595,4.72256,2.57943,3.54308,2.9566,2.38921,3.68418,1.3834,3.38703
"Gelse.v1.S262840.3",0,0.0436753,0,0.21708,0.289854,0.343683,0.0313597,0.466565,0.549585,0.0539763,0,0,0.0931465,0.0211352,0,0.051471,0,0
"Gelse.v1.S178730.1",1.87891,0.297354,1.6239,1.76339,1.56314,0.799858,0.774631,0.67444,1.17855,0.783526,1.273,0.659604,0.27761,1.54841,0.555035,1.37227,0.72042,1.21839
"Gelse.v1.S004260.3",58.7056,35.7175,45.9445,55.508,46.7214,40.4825,60.2748,54.0695,60.4711,31.1761,26.8124,32.1128,9.0604,6.96517,6.69427,6.59366,6.20345,4.66103
"Gelse.v1.S248570.7",43.3224,25.9646,41.8222,29.0035,29.9251,33.5138,39.0754,35.272,36.5207,53.0782,64.3953,38.2055,37.027,43.6847,36.2469,34.6042,41.4475,37.0613
"Gelse.v1.S175400.2",22.8999,13.4227,27.1513,14.0524,13.5385,12.4461,12.1779,7.47358,11.6509,19.3347,21.0909,28.2072,13.2883,13.2511,12.4437,14.529,15.3846,14.8021
"Gelse.v1.S279840.1",0.0228316,0,2.80673e-10,0,0,3.96898e-4,0,0,8.22712e-6,0,0,0,0,0,0,0,0,0
"Gelse.v1.S255480.1",0,0.430747,0,0,0,0,0,0,0,0.0688209,0,0,0,0,0.0585515,0,0,0
"Gelse.v1.S067890.1",0,1.39606,3.49441,0,1.27787,0.200221,0,0,0,1.97489,0.191779,2.20799,0,0,0,0,0,0
"Gelse.v1.S269010.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.797134,0
"Gelse.v1.S045890.2",5.7552,2.29401,5.13011,4.02868,2.89468,6.60891,3.21315,4.58101,6.3928,7.98749,10.0212,5.47931,6.2814,9.69799,1.55139,5.41799,8.15107,5.48701
"Gelse.v1.S049310.1",659.975,1702.9,413.89,720.566,618.098,934.668,141.081,198.743,232.055,853.332,579.152,537.093,743.119,613.244,508.485,739.79,629.751,370.237
"Gelse.v1.S191400.1",0,0,0,0,0,0,0,0,0,0,0,0,58.3797,79.2713,57.9397,38.3715,28.9179,26.0798
"Gelse.v1.S042840.1",0,0,0,0,0,0,0,0,0,0,0,0,0.029051,0,0,0.0154638,0,0.0310988
"Gelse.v1.S008540.1",5.26703,3.0976,5.65675,4.29434,4.14117,5.0168,5.03783,4.84821,4.48008,4.95882,6.04324,4.75983,9.16684,9.09551,6.40825,7.78893,8.27892,6.60794
"Gelse.v1.S198860.1",33.8391,10.7432,27.8172,28.9391,25.4011,27.2041,34.3754,40.1265,29.0072,19.445,24.4506,26.52,15.2139,20.1893,7.97887,13.6719,19.4475,14.5454
"Gelse.v1.S083570.1",78.7628,37.9533,67.4455,74.9868,81.3545,68.8176,106.757,86.3101,78.7412,54.6711,51.467,52.5237,36.3581,31.4553,19.0357,31.2856,41.0132,28.7771
"Gelse.v1.S250120.1",582.261,497.726,576.006,581.232,489.303,531.713,551.828,360.203,371.745,768.02,576.22,647.854,814.424,688.773,710.596,879.264,751.036,792.374
"Gelse.v1.S066410.1",0,0.066431,0,0,0.0751529,0,0,0,0,0.0853004,0,0.160608,0.174478,0.124961,0,0.0936438,0.164506,0.187729
"Gelse.v1.S181570.1",0.387665,0.217696,0.416188,0.511399,0.49286,0.375204,0.460355,0.144837,0.634576,1.30331,0.817703,5.09341,0.28535,0.363162,0.158943,0.460041,0.119671,0.153616
"Gelse.v1.S136200.1",3.00663,2.80704,1.02838,3.54105,4.346,7.89665,0.575207,0.283776,2.54316,0.183674,0.134016,0.259202,0.25162,1.29079,0.0524305,0.0335974,0.118126,0.0337252
"Gelse.v1.S134060.1",79.123,115.835,70.0673,103.649,88.6153,81.8138,91.3301,62.3965,48.565,80.7913,31.1522,90.0875,96.2769,77.0578,88.0561,99.145,84.2308,95.44
"Gelse.v1.S117990.1",15.0069,13.7367,21.5525,7.6874,8.13052,7.71414,5.06787,6.09326,6.48584,33.9141,31.57,37.0052,21.2701,21.1446,18.4938,22.0063,14.5374,23.1659
"Gelse.v1.S157720.1",0,0.0306311,0,0.348695,0.312132,0.0794468,0,0,0,7.50322,5.21738,8.9495,33.3046,14.2592,25.1405,72.7627,24.6139,71.0354
"Gelse.v1.S054500.2",2.14031,4.41325,3.09151,1.34338,0.851215,2.39107,1.54588,0.0908856,0.414676,7.20243,4.57898,8.93179,7.94793,9.00331,10.0906,8.72718,7.62268,9.56825
"Gelse.v1.S089540.3",9.31887,6.14609,4.43645,11.0337,8.58587,7.2429,4.31847,3.94957,4.72211,35.374,17.5471,71.0651,21.7238,17.2326,16.0092,14.0223,9.0246,8.40698
"Gelse.v1.S161170.1",22.6436,12.0697,18.8427,14.788,12.7902,13.7346,13.7473,9.10026,11.8387,8.25774,11.0519,5.5578,9.41118,11.3938,6.86354,8.93583,13.9704,8.97281
